"lesson","concept","skill","objective","before_templates","after_templates","before_dedicated","after_dedicated","before_quick","after_quick","after_reused","recognition","production","reasoning","authored","variants","generators","interaction","input","grading","activation","single_fixed","baseline_library_lessons"
"asymptotic-growth","loop-counting","interpret","exact-count-versus-growth","0","1","0","1","0","1","0","1","0","0","1","2","0","low","tap","choice","loop-counting","false",""
"calculus-antiderivatives-ftc","calculus-antiderivatives-ftc-antiderivatives-and-the-missing-constant","compute","","8","8","0","0","0","0","8","0","8","0","0","0","0","low","math-text","structured","calculus-antiderivatives-ftc-antiderivatives-and-the-missing-constant","false","calculus-antiderivatives-ftc"
"calculus-antiderivatives-ftc","calculus-antiderivatives-ftc-antiderivatives-and-the-missing-constant","compute","calculus-antiderivatives-ftc-antiderivatives-and-the-missing-constant-compute-production","1","1","1","1","0","0","0","0","1","0","1","3","0","low","math-text","structured","calculus-antiderivatives-ftc-antiderivatives-and-the-missing-constant","false","calculus-antiderivatives-ftc"
"calculus-antiderivatives-ftc","calculus-antiderivatives-ftc-antiderivatives-and-the-missing-constant","construct","","1","1","0","0","0","0","1","0","1","0","0","0","0","high","handwriting;math-text;photo","open-reasoning","calculus-antiderivatives-ftc-antiderivatives-and-the-missing-constant","true","calculus-antiderivatives-ftc"
"calculus-antiderivatives-ftc","calculus-antiderivatives-ftc-antiderivatives-and-the-missing-constant","justify","","1","1","0","0","0","0","1","0","0","1","0","0","0","high","handwriting;math-text;photo","open-reasoning","calculus-antiderivatives-ftc-antiderivatives-and-the-missing-constant","true","calculus-antiderivatives-ftc"
"calculus-antiderivatives-ftc","calculus-antiderivatives-ftc-antiderivatives-and-the-missing-constant","recognize","","1","1","0","0","1","1","1","1","0","0","0","0","0","low","tap","choice","calculus-antiderivatives-ftc-antiderivatives-and-the-missing-constant","true","calculus-antiderivatives-ftc"
"calculus-antiderivatives-ftc","calculus-antiderivatives-ftc-changing-bounds-and-checking-the-model","compute","","8","8","0","0","0","0","8","0","8","0","0","0","0","low","math-text","structured","calculus-antiderivatives-ftc-changing-bounds-and-checking-the-model","false","calculus-antiderivatives-ftc"
"calculus-antiderivatives-ftc","calculus-antiderivatives-ftc-changing-bounds-and-checking-the-model","compute","calculus-antiderivatives-ftc-changing-bounds-and-checking-the-model-compute-production","1","1","1","1","0","0","0","0","1","0","1","2","0","low","math-text","structured","calculus-antiderivatives-ftc-changing-bounds-and-checking-the-model","false","calculus-antiderivatives-ftc"
"calculus-antiderivatives-ftc","calculus-antiderivatives-ftc-changing-bounds-and-checking-the-model","interpret","calculus-antiderivatives-ftc-changing-bounds-and-checking-the-model-interpret-reasoning","1","1","1","1","0","0","0","0","0","1","0","0","0","medium","handwriting;math-text;photo","open-reasoning","calculus-antiderivatives-ftc-changing-bounds-and-checking-the-model","true","calculus-antiderivatives-ftc"
"calculus-antiderivatives-ftc","calculus-antiderivatives-ftc-changing-bounds-and-checking-the-model","justify","","2","2","0","0","0","0","2","0","0","2","0","0","0","high","handwriting;math-text;photo","open-reasoning","calculus-antiderivatives-ftc-changing-bounds-and-checking-the-model","false","calculus-antiderivatives-ftc"
"calculus-antiderivatives-ftc","calculus-antiderivatives-ftc-differentiating-accumulated-area","compute","","8","8","0","0","0","0","8","0","8","0","0","0","0","low","math-text","structured","calculus-antiderivatives-ftc-differentiating-accumulated-area","false","calculus-antiderivatives-ftc"
"calculus-antiderivatives-ftc","calculus-antiderivatives-ftc-differentiating-accumulated-area","compute","calculus-antiderivatives-ftc-differentiating-accumulated-area-compute-production","1","1","1","1","0","0","0","0","1","0","1","2","0","low","math-text","structured","calculus-antiderivatives-ftc-differentiating-accumulated-area","false","calculus-antiderivatives-ftc"
"calculus-antiderivatives-ftc","calculus-antiderivatives-ftc-differentiating-accumulated-area","justify","","2","2","0","0","0","0","2","0","0","2","0","0","0","high","handwriting;math-text;photo","open-reasoning","calculus-antiderivatives-ftc-differentiating-accumulated-area","false","calculus-antiderivatives-ftc"
"calculus-antiderivatives-ftc","calculus-antiderivatives-ftc-differentiating-accumulated-area","justify","calculus-antiderivatives-ftc-differentiating-accumulated-area-justify-reasoning","1","1","1","1","0","0","0","0","0","1","0","0","0","medium","handwriting;math-text;photo","open-reasoning","calculus-antiderivatives-ftc-differentiating-accumulated-area","true","calculus-antiderivatives-ftc"
"calculus-antiderivatives-ftc","calculus-antiderivatives-ftc-evaluating-definite-integrals","compute","","8","8","0","0","0","0","8","0","8","0","0","0","0","low","math-text","structured","calculus-antiderivatives-ftc-evaluating-definite-integrals","false","calculus-antiderivatives-ftc"
"calculus-antiderivatives-ftc","calculus-antiderivatives-ftc-evaluating-definite-integrals","compute","calculus-antiderivatives-ftc-evaluating-definite-integrals-compute-production","1","1","1","1","0","0","0","0","1","0","1","3","0","low","math-text","structured","calculus-antiderivatives-ftc-evaluating-definite-integrals","false","calculus-antiderivatives-ftc"
"calculus-antiderivatives-ftc","calculus-antiderivatives-ftc-evaluating-definite-integrals","justify","","2","2","0","0","0","0","2","0","0","2","0","0","0","high","handwriting;math-text;photo","open-reasoning","calculus-antiderivatives-ftc-evaluating-definite-integrals","false","calculus-antiderivatives-ftc"
"calculus-antiderivatives-ftc","calculus-antiderivatives-ftc-evaluating-definite-integrals","recognize","","1","1","0","0","1","1","1","1","0","0","0","0","0","low","tap","choice","calculus-antiderivatives-ftc-evaluating-definite-integrals","true","calculus-antiderivatives-ftc"
"calculus-antiderivatives-ftc","calculus-antiderivatives-ftc-substitution-reverses-the-chain-rule","compute","","8","8","0","0","0","0","8","0","8","0","0","0","0","low","math-text","structured","calculus-antiderivatives-ftc-substitution-reverses-the-chain-rule","false","calculus-antiderivatives-ftc"
"calculus-antiderivatives-ftc","calculus-antiderivatives-ftc-substitution-reverses-the-chain-rule","compute","calculus-antiderivatives-ftc-substitution-reverses-the-chain-rule-compute-production","1","1","1","1","0","0","0","0","1","0","1","3","0","low","math-text","structured","calculus-antiderivatives-ftc-substitution-reverses-the-chain-rule","false","calculus-antiderivatives-ftc"
"calculus-antiderivatives-ftc","calculus-antiderivatives-ftc-substitution-reverses-the-chain-rule","justify","","2","2","0","0","0","0","2","0","0","2","0","0","0","high","handwriting;math-text;photo","open-reasoning","calculus-antiderivatives-ftc-substitution-reverses-the-chain-rule","false","calculus-antiderivatives-ftc"
"calculus-applications-integration","calculus-applications-integration-area-between-curves","compute","","8","8","0","0","0","0","8","0","8","0","0","0","0","low","math-text","structured","calculus-applications-integration-area-between-curves","false","calculus-applications-integration"
"calculus-applications-integration","calculus-applications-integration-area-between-curves","compute","calculus-applications-integration-area-between-curves-compute-production","1","1","1","1","0","0","0","0","1","0","1","2","0","low","math-text","structured","calculus-applications-integration-area-between-curves","false","calculus-applications-integration"
"calculus-applications-integration","calculus-applications-integration-area-between-curves","interpret","","1","1","0","0","0","0","1","1","0","0","0","0","0","high","handwriting;math-text;photo","open-reasoning","calculus-applications-integration-area-between-curves","true","calculus-applications-integration"
"calculus-applications-integration","calculus-applications-integration-area-between-curves","justify","","1","1","0","0","0","0","1","0","0","1","0","0","0","high","handwriting;math-text;photo","open-reasoning","calculus-applications-integration-area-between-curves","true","calculus-applications-integration"
"calculus-applications-integration","calculus-applications-integration-area-between-curves","justify","calculus-applications-integration-area-between-curves-justify-reasoning","1","1","1","1","0","0","0","0","0","1","0","0","0","medium","handwriting;math-text;photo","open-reasoning","calculus-applications-integration-area-between-curves","true","calculus-applications-integration"
"calculus-applications-integration","calculus-applications-integration-area-between-curves","recognize","","1","1","0","0","1","1","1","1","0","0","0","0","0","low","tap","choice","calculus-applications-integration-area-between-curves","true","calculus-applications-integration"
"calculus-applications-integration","calculus-applications-integration-average-value-and-representative-levels","compute","","8","8","0","0","0","0","8","0","8","0","0","0","0","low","math-text","structured","calculus-applications-integration-average-value-and-representative-levels","false","calculus-applications-integration"
"calculus-applications-integration","calculus-applications-integration-average-value-and-representative-levels","compute","calculus-applications-integration-average-value-and-representative-levels-compute-production","1","1","1","1","0","0","0","0","1","0","1","2","0","low","math-text","structured","calculus-applications-integration-average-value-and-representative-levels","false","calculus-applications-integration"
"calculus-applications-integration","calculus-applications-integration-average-value-and-representative-levels","construct","","1","1","0","0","0","0","1","0","1","0","0","0","0","high","handwriting;math-text;photo","open-reasoning","calculus-applications-integration-average-value-and-representative-levels","true","calculus-applications-integration"
"calculus-applications-integration","calculus-applications-integration-average-value-and-representative-levels","interpret","calculus-applications-integration-average-value-and-representative-levels-interpret-reasoning","1","1","1","1","0","0","0","0","0","1","0","0","0","medium","handwriting;math-text;photo","open-reasoning","calculus-applications-integration-average-value-and-representative-levels","true","calculus-applications-integration"
"calculus-applications-integration","calculus-applications-integration-average-value-and-representative-levels","prove","","1","1","0","0","0","0","1","0","0","1","0","0","0","high","handwriting;math-text;photo","open-reasoning","calculus-applications-integration-average-value-and-representative-levels","true","calculus-applications-integration"
"calculus-applications-integration","calculus-applications-integration-density-and-work-from-variable-contributions","compute","","8","8","0","0","0","0","8","0","8","0","0","0","0","low","math-text","structured","calculus-applications-integration-density-and-work-from-variable-contributions","false","calculus-applications-integration"
"calculus-applications-integration","calculus-applications-integration-density-and-work-from-variable-contributions","compute","calculus-applications-integration-density-and-work-from-variable-contributions-compute-production","1","1","1","1","0","0","0","0","1","0","1","3","0","low","math-text","structured","calculus-applications-integration-density-and-work-from-variable-contributions","false","calculus-applications-integration"
"calculus-applications-integration","calculus-applications-integration-density-and-work-from-variable-contributions","interpret","","1","1","0","0","0","0","1","1","0","0","0","0","0","high","handwriting;math-text;photo","open-reasoning","calculus-applications-integration-density-and-work-from-variable-contributions","true","calculus-applications-integration"
"calculus-applications-integration","calculus-applications-integration-density-and-work-from-variable-contributions","justify","","1","1","0","0","0","0","1","0","0","1","0","0","0","high","handwriting;math-text;photo","open-reasoning","calculus-applications-integration-density-and-work-from-variable-contributions","true","calculus-applications-integration"
"calculus-applications-integration","calculus-applications-integration-net-change-and-model-interpretation","compute","","8","8","0","0","0","0","8","0","8","0","0","0","0","low","math-text","structured","calculus-applications-integration-net-change-and-model-interpretation","false","calculus-applications-integration"
"calculus-applications-integration","calculus-applications-integration-net-change-and-model-interpretation","compute","calculus-applications-integration-net-change-and-model-interpretation-compute-production","1","1","1","1","0","0","0","0","1","0","1","2","0","low","math-text","structured","calculus-applications-integration-net-change-and-model-interpretation","false","calculus-applications-integration"
"calculus-applications-integration","calculus-applications-integration-net-change-and-model-interpretation","interpret","","1","1","0","0","0","0","1","1","0","0","0","0","0","high","handwriting;math-text;photo","open-reasoning","calculus-applications-integration-net-change-and-model-interpretation","true","calculus-applications-integration"
"calculus-applications-integration","calculus-applications-integration-net-change-and-model-interpretation","interpret","calculus-applications-integration-net-change-and-model-interpretation-interpret-reasoning","1","1","1","1","0","0","0","0","0","1","0","0","0","medium","handwriting;math-text;photo","open-reasoning","calculus-applications-integration-net-change-and-model-interpretation","true","calculus-applications-integration"
"calculus-applications-integration","calculus-applications-integration-net-change-and-model-interpretation","justify","","1","1","0","0","0","0","1","0","0","1","0","0","0","high","handwriting;math-text;photo","open-reasoning","calculus-applications-integration-net-change-and-model-interpretation","true","calculus-applications-integration"
"calculus-applications-integration","calculus-applications-integration-volumes-from-slices-disks-and-washers","compute","","8","8","0","0","0","0","8","0","8","0","0","0","0","low","math-text","structured","calculus-applications-integration-volumes-from-slices-disks-and-washers","false","calculus-applications-integration"
"calculus-applications-integration","calculus-applications-integration-volumes-from-slices-disks-and-washers","compute","calculus-applications-integration-volumes-from-slices-disks-and-washers-compute-production","1","1","1","1","0","0","0","0","1","0","1","2","0","low","math-text","structured","calculus-applications-integration-volumes-from-slices-disks-and-washers","false","calculus-applications-integration"
"calculus-applications-integration","calculus-applications-integration-volumes-from-slices-disks-and-washers","justify","","1","1","0","0","0","0","1","0","0","1","0","0","0","high","handwriting;math-text;photo","open-reasoning","calculus-applications-integration-volumes-from-slices-disks-and-washers","true","calculus-applications-integration"
"calculus-applications-integration","calculus-applications-integration-volumes-from-slices-disks-and-washers","justify","calculus-applications-integration-volumes-from-slices-disks-and-washers-justify-reasoning","1","1","1","1","0","0","0","0","0","1","0","0","0","medium","handwriting;math-text;photo","open-reasoning","calculus-applications-integration-volumes-from-slices-disks-and-washers","true","calculus-applications-integration"
"calculus-applications-integration","calculus-applications-integration-volumes-from-slices-disks-and-washers","prove","","1","1","0","0","0","0","1","0","0","1","0","0","0","high","handwriting;math-text;photo","open-reasoning","calculus-applications-integration-volumes-from-slices-disks-and-washers","true","calculus-applications-integration"
"calculus-applications-integration","calculus-applications-integration-volumes-from-slices-disks-and-washers","recognize","","1","1","0","0","1","1","1","1","0","0","0","0","0","low","tap","choice","calculus-applications-integration-volumes-from-slices-disks-and-washers","true","calculus-applications-integration"
"calculus-chain-implicit-inverse","calculus-chain-implicit-inverse-composition-and-local-rate-multiplication","compute","","8","8","0","0","0","0","8","0","8","0","0","0","0","low","math-text","structured","calculus-chain-implicit-inverse-composition-and-local-rate-multiplication","false","calculus-chain-implicit-inverse"
"calculus-chain-implicit-inverse","calculus-chain-implicit-inverse-composition-and-local-rate-multiplication","compute","calculus-chain-implicit-inverse-composition-and-local-rate-multiplication-compute-production","1","1","1","1","0","0","0","0","1","0","1","3","0","low","math-text","structured","calculus-chain-implicit-inverse-composition-and-local-rate-multiplication","false","calculus-chain-implicit-inverse"
"calculus-chain-implicit-inverse","calculus-chain-implicit-inverse-composition-and-local-rate-multiplication","justify","","2","2","0","0","0","0","2","0","0","2","0","0","0","high","handwriting;math-text;photo","open-reasoning","calculus-chain-implicit-inverse-composition-and-local-rate-multiplication","false","calculus-chain-implicit-inverse"
"calculus-chain-implicit-inverse","calculus-chain-implicit-inverse-composition-and-local-rate-multiplication","recognize","","1","1","0","0","1","1","1","1","0","0","0","0","0","low","tap","choice","calculus-chain-implicit-inverse-composition-and-local-rate-multiplication","true","calculus-chain-implicit-inverse"
"calculus-chain-implicit-inverse","calculus-chain-implicit-inverse-implicit-differentiation-of-curves","compute","","8","8","0","0","0","0","8","0","8","0","0","0","0","low","math-text","structured","calculus-chain-implicit-inverse-implicit-differentiation-of-curves","false","calculus-chain-implicit-inverse"
"calculus-chain-implicit-inverse","calculus-chain-implicit-inverse-implicit-differentiation-of-curves","compute","calculus-chain-implicit-inverse-implicit-differentiation-of-curves-compute-production","1","1","1","1","0","0","0","0","1","0","1","3","0","low","math-text","structured","calculus-chain-implicit-inverse-implicit-differentiation-of-curves","false","calculus-chain-implicit-inverse"
"calculus-chain-implicit-inverse","calculus-chain-implicit-inverse-implicit-differentiation-of-curves","justify","","2","2","0","0","0","0","2","0","0","2","0","0","0","high","handwriting;math-text;photo","open-reasoning","calculus-chain-implicit-inverse-implicit-differentiation-of-curves","false","calculus-chain-implicit-inverse"
"calculus-chain-implicit-inverse","calculus-chain-implicit-inverse-implicit-differentiation-of-curves","recognize","","1","1","0","0","1","1","1","1","0","0","0","0","0","low","tap","choice","calculus-chain-implicit-inverse-implicit-differentiation-of-curves","true","calculus-chain-implicit-inverse"
"calculus-chain-implicit-inverse","calculus-chain-implicit-inverse-inverse-trigonometric-derivatives","compute","","8","8","0","0","0","0","8","0","8","0","0","0","0","low","math-text","structured","calculus-chain-implicit-inverse-inverse-trigonometric-derivatives","false","calculus-chain-implicit-inverse"
"calculus-chain-implicit-inverse","calculus-chain-implicit-inverse-inverse-trigonometric-derivatives","compute","calculus-chain-implicit-inverse-inverse-trigonometric-derivatives-compute-production","1","1","1","1","0","0","0","0","1","0","1","3","0","low","math-text","structured","calculus-chain-implicit-inverse-inverse-trigonometric-derivatives","false","calculus-chain-implicit-inverse"
"calculus-chain-implicit-inverse","calculus-chain-implicit-inverse-inverse-trigonometric-derivatives","justify","","1","1","0","0","0","0","1","0","0","1","0","0","0","high","handwriting;math-text;photo","open-reasoning","calculus-chain-implicit-inverse-inverse-trigonometric-derivatives","true","calculus-chain-implicit-inverse"
"calculus-chain-implicit-inverse","calculus-chain-implicit-inverse-inverse-trigonometric-derivatives","prove","","1","1","0","0","0","0","1","0","0","1","0","0","0","high","handwriting;math-text;photo","open-reasoning","calculus-chain-implicit-inverse-inverse-trigonometric-derivatives","true","calculus-chain-implicit-inverse"
"calculus-chain-implicit-inverse","calculus-chain-implicit-inverse-nested-rules-and-angle-conversion","compute","","8","8","0","0","0","0","8","0","8","0","0","0","0","low","math-text","structured","calculus-chain-implicit-inverse-nested-rules-and-angle-conversion","false","calculus-chain-implicit-inverse"
"calculus-chain-implicit-inverse","calculus-chain-implicit-inverse-nested-rules-and-angle-conversion","compute","calculus-chain-implicit-inverse-nested-rules-and-angle-conversion-compute-production","1","1","1","1","0","0","0","0","1","0","1","3","0","low","math-text","structured","calculus-chain-implicit-inverse-nested-rules-and-angle-conversion","false","calculus-chain-implicit-inverse"
"calculus-chain-implicit-inverse","calculus-chain-implicit-inverse-nested-rules-and-angle-conversion","justify","","2","2","0","0","0","0","2","0","0","2","0","0","0","high","handwriting;math-text;photo","open-reasoning","calculus-chain-implicit-inverse-nested-rules-and-angle-conversion","false","calculus-chain-implicit-inverse"
"calculus-chain-implicit-inverse","calculus-chain-implicit-inverse-rates-of-inverse-functions","compute","","6","6","0","0","0","0","6","0","6","0","0","0","0","low","math-text","structured","calculus-chain-implicit-inverse-rates-of-inverse-functions","false","calculus-chain-implicit-inverse"
"calculus-chain-implicit-inverse","calculus-chain-implicit-inverse-rates-of-inverse-functions","compute","calculus-chain-implicit-inverse-rates-of-inverse-functions-compute-production","1","1","1","1","0","0","0","0","1","0","1","3","0","low","math-text","structured","calculus-chain-implicit-inverse-rates-of-inverse-functions","false","calculus-chain-implicit-inverse"
"calculus-chain-implicit-inverse","calculus-chain-implicit-inverse-rates-of-inverse-functions","interpret","","2","2","0","0","2","2","2","2","0","0","0","0","0","low","tap","structured","calculus-chain-implicit-inverse-rates-of-inverse-functions","false","calculus-chain-implicit-inverse"
"calculus-chain-implicit-inverse","calculus-chain-implicit-inverse-rates-of-inverse-functions","justify","","1","1","0","0","0","0","1","0","0","1","0","0","0","high","handwriting;math-text;photo","open-reasoning","calculus-chain-implicit-inverse-rates-of-inverse-functions","true","calculus-chain-implicit-inverse"
"calculus-chain-implicit-inverse","calculus-chain-implicit-inverse-rates-of-inverse-functions","prove","","1","1","0","0","0","0","1","0","0","1","0","0","0","high","handwriting;math-text;photo","open-reasoning","calculus-chain-implicit-inverse-rates-of-inverse-functions","true","calculus-chain-implicit-inverse"
"calculus-constrained-optimization","calculus-constrained-optimization-compare-all-candidates-and-boundaries","compute","","5","5","0","0","0","0","5","0","5","0","0","0","0","low","math-text","structured","calculus-constrained-optimization-compare-all-candidates-and-boundaries","false","calculus-constrained-optimization"
"calculus-constrained-optimization","calculus-constrained-optimization-compare-all-candidates-and-boundaries","compute","calculus-constrained-optimization-compare-all-candidates-and-boundaries-compute-production","1","1","1","1","0","0","0","0","1","0","1","3","0","low","math-text","structured","calculus-constrained-optimization-compare-all-candidates-and-boundaries","false","calculus-constrained-optimization"
"calculus-constrained-optimization","calculus-constrained-optimization-compare-all-candidates-and-boundaries","interpret","","2","2","0","0","0","0","2","0","2","0","0","0","0","low","math-text","structured","calculus-constrained-optimization-compare-all-candidates-and-boundaries","false","calculus-constrained-optimization"
"calculus-constrained-optimization","calculus-constrained-optimization-compare-all-candidates-and-boundaries","justify","","1","1","0","0","0","0","1","0","0","1","0","0","0","high","handwriting;math-text;photo","open-reasoning","calculus-constrained-optimization-compare-all-candidates-and-boundaries","true","calculus-constrained-optimization"
"calculus-constrained-optimization","calculus-constrained-optimization-optimize-over-the-feasible-set","compute","","4","4","0","0","0","0","4","0","4","0","0","0","0","low","math-text","structured","calculus-constrained-optimization-optimize-over-the-feasible-set","false","calculus-constrained-optimization"
"calculus-constrained-optimization","calculus-constrained-optimization-optimize-over-the-feasible-set","compute","calculus-constrained-optimization-optimize-over-the-feasible-set-compute-production","1","1","1","1","0","0","0","0","1","0","0","0","0","low","math-text","structured","calculus-constrained-optimization-optimize-over-the-feasible-set","true","calculus-constrained-optimization"
"calculus-constrained-optimization","calculus-constrained-optimization-optimize-over-the-feasible-set","interpret","","4","4","0","0","4","4","4","4","0","0","0","0","0","low","tap","structured","calculus-constrained-optimization-optimize-over-the-feasible-set","false","calculus-constrained-optimization"
"calculus-constrained-optimization","calculus-constrained-optimization-optimize-over-the-feasible-set","interpret","calculus-constrained-optimization-optimize-over-the-feasible-set-interpret-recognition","1","1","1","1","1","1","0","1","0","0","0","0","0","low","tap","structured","calculus-constrained-optimization-optimize-over-the-feasible-set","true","calculus-constrained-optimization"
"calculus-constrained-optimization","calculus-constrained-optimization-optimize-over-the-feasible-set","justify","","2","2","0","0","0","0","2","0","0","2","0","0","0","high","handwriting;math-text;photo","open-reasoning","calculus-constrained-optimization-optimize-over-the-feasible-set","false","calculus-constrained-optimization"
"calculus-constrained-optimization","calculus-constrained-optimization-optimize-over-the-feasible-set","justify","calculus-constrained-optimization-optimize-over-the-feasible-set-justify-reasoning","1","1","1","1","0","0","0","0","0","1","0","0","0","medium","handwriting;math-text;photo","open-reasoning","calculus-constrained-optimization-optimize-over-the-feasible-set","true","calculus-constrained-optimization"
"calculus-constrained-optimization","calculus-constrained-optimization-recognize-singular-constraints-and-modeling-limits","compute","","4","4","0","0","0","0","4","0","4","0","0","0","0","low","math-text","structured","calculus-constrained-optimization-recognize-singular-constraints-and-modeling-limits","false","calculus-constrained-optimization"
"calculus-constrained-optimization","calculus-constrained-optimization-recognize-singular-constraints-and-modeling-limits","interpret","","3","3","0","0","3","3","3","3","0","0","0","0","0","low","tap","structured","calculus-constrained-optimization-recognize-singular-constraints-and-modeling-limits","false","calculus-constrained-optimization"
"calculus-constrained-optimization","calculus-constrained-optimization-recognize-singular-constraints-and-modeling-limits","interpret","calculus-constrained-optimization-recognize-singular-constraints-and-modeling-limits-interpret-recognition","1","1","1","1","1","1","0","1","0","0","1","2","0","low","tap","structured","calculus-constrained-optimization-recognize-singular-constraints-and-modeling-limits","false","calculus-constrained-optimization"
"calculus-constrained-optimization","calculus-constrained-optimization-recognize-singular-constraints-and-modeling-limits","justify","","3","3","0","0","0","0","3","0","0","3","0","0","0","high","handwriting;math-text;photo","open-reasoning","calculus-constrained-optimization-recognize-singular-constraints-and-modeling-limits","false","calculus-constrained-optimization"
"calculus-constrained-optimization","calculus-constrained-optimization-recognize-singular-constraints-and-modeling-limits","justify","calculus-constrained-optimization-recognize-singular-constraints-and-modeling-limits-justify-reasoning","1","1","1","1","0","0","0","0","0","1","0","0","0","medium","handwriting;math-text;photo","open-reasoning","calculus-constrained-optimization-recognize-singular-constraints-and-modeling-limits","true","calculus-constrained-optimization"
"calculus-constrained-optimization","calculus-constrained-optimization-recognize-singular-constraints-and-modeling-limits","recognize","","1","1","0","0","1","1","1","1","0","0","0","0","0","low","tap","choice","calculus-constrained-optimization-recognize-singular-constraints-and-modeling-limits","true","calculus-constrained-optimization"
"calculus-constrained-optimization","calculus-constrained-optimization-set-up-and-solve-the-lagrange-equations","compute","","7","7","0","0","0","0","7","0","7","0","0","0","0","low","math-text","structured","calculus-constrained-optimization-set-up-and-solve-the-lagrange-equations","false","calculus-constrained-optimization"
"calculus-constrained-optimization","calculus-constrained-optimization-set-up-and-solve-the-lagrange-equations","compute","calculus-constrained-optimization-set-up-and-solve-the-lagrange-equations-compute-production","1","1","1","1","0","0","0","0","1","0","1","2","0","low","math-text","structured","calculus-constrained-optimization-set-up-and-solve-the-lagrange-equations","false","calculus-constrained-optimization"
"calculus-constrained-optimization","calculus-constrained-optimization-set-up-and-solve-the-lagrange-equations","interpret","","1","1","0","0","1","1","1","1","0","0","0","0","0","low","tap","structured","calculus-constrained-optimization-set-up-and-solve-the-lagrange-equations","true","calculus-constrained-optimization"
